% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.025	1	1	3	6	1	0	81	0	0	0
0.304	1	9	31	5	4	28	2196	0	0	0
0.305	1	7	31	6	9	28	2196	0	0	0
0.04	1	1	5	1	1	28	2196	0	0	0
0.306	1	2	31	7	10	28	2196	0	0	0
0.041	1	1	5	2	1	28	2196	0	0	0
0.046	1	1	5	7	1	28	2196	0	0	0
0.307	1	10	31	8	11	28	2196	0	0	0
0.048	1	1	5	9	1	28	2196	0	0	0
0.308	1	1	31	9	12	28	2196	0	0	0
0.056	1	1	6	7	1	28	2196	0	0	0
0.309	1	5	31	10	15	28	2196	0	0	0
0.058	1	1	6	9	1	28	2196	0	0	0
0.31	1	8	32	1	16	28	2196	0	0	0
0.066	1	1	7	7	1	28	2196	0	0	0
0.068	1	1	7	9	1	28	2196	0	0	0
0.311	1	6	32	2	1	28	2196	0	0	0
0.07	1	1	8	1	1	28	2196	0	0	0
0.312	1	3	32	3	2	28	2196	0	0	0
0.076	1	1	8	7	1	28	2196	0	0	0
0.078	1	1	8	9	1	28	2196	0	0	0
0.313	1	4	32	4	3	28	2196	0	0	0
0.086	1	1	9	7	1	28	2196	0	0	0
0.088	1	1	9	9	1	28	2196	0	0	0
0.314	1	9	32	5	4	28	2196	0	0	0
0.315	1	7	32	6	9	28	2196	0	0	0
0.096	1	1	10	7	1	28	2196	0	0	0
0.098	1	1	10	9	1	28	2196	0	0	0
0.316	1	2	32	7	10	28	2196	0	0	0
0.101	1	1	11	2	1	28	2196	0	0	0
0.317	1	10	32	8	11	28	2196	0	0	0
0.106	2	1	11	7	1	0	81	0	0	0
0.107	2	1	11	8	1	0	81	0	0	0
0.108	2	1	11	9	1	0	81	0	0	0
0.318	1	1	32	9	12	28	2196	0	0	0
0.109	2	1	11	10	1	0	81	0	0	0
0.11	2	1	12	1	1	28	2196	0	0	0
0.111	2	1	12	2	1	28	2196	0	0	0
0.112	2	1	12	3	1	28	2196	0	0	0
0.113	2	1	12	4	1	28	2196	0	0	0
0.114	2	1	12	5	1	28	2196	0	0	0
0.319	1	5	32	10	15	28	2196	0	0	0
0.115	2	1	12	6	1	28	2196	0	0	0
